Metric,Value
design__instance__count,405
design__instance__area,4628.19
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 120.0 75.0
design__core__bbox,5.52 5.44 114.08 68.0
design__io,51
design__die__area,9000
design__core__area,6791.51
design__instance__count__stdcell,405
design__instance__area__stdcell,4628.19
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.681466
design__instance__utilization__stdcell,0.681466
design__instance__count__class:buffer,34
design__instance__count__class:inverter,48
design__instance__count__class:sequential_cell,109
design__instance__count__class:multi_input_combinational_cell,102
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,651
design__instance__count__class:tap_cell,100
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,6483.57
design__violations,0
design__instance__count__class:timing_repair_buffer,12
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007523891399614513
power__switching__total,0.0004952190793119371
power__leakage__total,6.512951511439269E-9
power__total,0.0012476147385314107
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-4.466580121078706
clock__skew__worst_setup__corner:nom_tt_025C_1v80,2.6576284147824425
timing__hold__ws__corner:nom_tt_025C_1v80,0.5795207810996515
timing__setup__ws__corner:nom_tt_025C_1v80,1.618932589365462
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.579521
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.618933
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,8
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-2.7522003233191583
clock__skew__worst_setup,1.5722732449899242
timing__hold__ws,0.39079518505142385
timing__setup__ws,0.966480700604039
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.390795
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.966481
timing__setup_r2r_vio__count,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,341
route__net__special,2
route__drc_errors__iter:1,224
route__wirelength__iter:1,7274
route__drc_errors__iter:2,35
route__wirelength__iter:2,7162
route__drc_errors__iter:3,47
route__wirelength__iter:3,7148
